year,0_team,1_team,winner_id
2013,georgia,kentucky,0
2013,ucla,arizona state,1
2013,south fla,smu,1
2013,tennessee,vanderbilt,1
2013,louisiana tech,tulsa,1
2013,temple,uconn,1
2013,texas state,western ky,1
2013,ole miss,missouri,1
2013,oklahoma state,baylor,0
2013,iowa state,kansas,0
2013,colorado,southern california,1
2013,san diego state,boise state,0
2013,oregon state,washington,1
2013,niu,western mich,0
2013,texas,texas tech,0
2013,mississippi state,ole miss,0
2013,akron,toledo,0
2013,nebraska,iowa,1
2013,houston,smu,0
2013,marshall,east carolina,0
2013,ball state,miami fl,0
2013,buffalo,bowling green,1
2013,ohio,massachusetts,0
2013,troy,texas state,0
2013,central mich,eastern mich,0
2013,lsu,arkansas,0
2013,fla atlantic,fiu,0
2013,san jose state,fresno state,0
2013,washington,washington state,0
2013,pittsburgh,miami fl,1
2013,oregon,oregon state,0
2013,ucf,south fla,0
2013,uconn,rutgers,0
2013,michigan state,minnesota,0
2013,michigan,ohio state,1
2013,kansas,kansas state,1
2013,memphis,temple,1
2013,florida,florida state,1
2013,north carolina,duke,1
2013,vanderbilt,wake forest,0
2013,nc state,maryland,1
2013,uab,southern miss,1
2013,utah state,wyoming,0
2013,colorado state,air force,0
2013,georgia state,south alabama,1
2013,utah,colorado,0
2013,tulsa,north texas,1
2013,nevada,byu,1
2013,rice,tulane,0
2013,virginia,virginia tech,1
2013,syracuse,boston college,0
2013,illinois,northwestern,1
2013,auburn,alabama,0
2013,new mexico state,idaho,0
2013,wisconsin,penn state,1
2013,tcu,baylor,1
2013,utsa,louisiana tech,0
2013,indiana,purdue,0
2013,georgia tech,georgia,1
2013,middle tenn,utep,0
2013,western ky,arkansas state,0
2013,west virginia,iowa state,1
2013,louisiana,south fla,1
2013,stanford,notre dame,0
2013,kentucky,tennessee,1
2013,south carolina,clemson,0
2013,missouri,texas am,0
2013,southern california,ucla,1
2013,arizona state,arizona,0
2013,boise state,new mexico,0
2013,unlv,san diego state,0
2013,hawaii,army west point,0
2013,cincinnati,louisville,1
2013,niu,bowling green,1
2013,oklahoma state,oklahoma,1
2013,smu,ucf,1
2013,rice,marshall,0
2013,uconn,memphis,0
2013,baylor,texas,0
2013,auburn,missouri,0
2013,rutgers,south fla,0
2013,arizona state,stanford,1
2013,south alabama,louisiana,0
2013,florida state,duke,0
2013,michigan state,ohio state,0
2013,fresno state,utah state,0
2013,navy,army west point,0
2013,kent state,liberty,0
2013,wake forest,presbyterian,0
2013,eastern ky,robert morris,0
2013,fordham,rhode island,0
2013,missouri state,northwestern state,1
2013,ball state,illinois state,0
2013,indiana,indiana state,0
2013,western ill,hampton,0
2013,youngstown state,dayton,0
2013,middle tenn,western caro,0
2013,uconn,towson,1
2013,delaware,jacksonville,0
2013,chattanooga,ut martin,1
2013,south alabama,southern utah,1
2013,north dakota,valparaiso,0
2013,tulane,jackson state,0
2013,montana state,monmouth,0
2013,san jose state,sacramento state,0
2013,army west point,morgan state,0
2013,georgia state,samford,1
2013,kansas state,north dakota state,1
2013,houston,southern u,0
2013,arizona,niu,0
2013,west virginia,william  mary,0
2013,boston college,villanova,0
2013,charlotte,campbell,0
2013,illinois,massachusetts,0
2013,georgia tech,elon,0
2013,duquesne,ualbany,0
2013,wagner,georgetown,0
2013,bryant,holy cross,0
2013,south dakota,uc davis,0
2013,air force,colgate,0
2013,duke,north carolina,0
2013,oregon,nicholls,0
2013,marist,sacred heart,1
2013,the citadel,charleston so,1
2013,eastern mich,howard,0
2013,tennessee,austin peay,0
2013,oregon state,eastern wash,1
2013,james madison,central conn state,0
2013,norfolk state,maine,1
2013,richmond,vmi,0
2013,south carolina state,coastal carolina,1
2013,gardnerwebb,furman,0
2013,south fla,mcneese,1
2013,missouri,murray state,0
2013,arkansas state,arkpine bluff,0
2013,south dakota state,butler,0
2013,cal poly,san diego,0
2013,baylor,wofford,0
2013,san diego state,eastern ill,1
2013,montana,app state,0
2013,florida am,mississippi val,0
2013,tennessee state,bethunecookman,1
2013,arizona state,sacramento state,0
2013,robert morris,morgan state,0
2013,iowa,missouri state,0
2013,wisconsin,tennessee tech,0
2013,louisville,eastern ky,0
2013,purdue,indiana state,0
2013,tcu,southeastern la,0
2013,rutgers,norfolk state,0
2013,lehigh,central conn state,0
2013,clemson,south carolina state,0
2013,rhode island,stony brook,1
2013,holy cross,towson,1
2013,dayton,duquesne,0
2013,virginia tech,western caro,0
2013,georgia state,chattanooga,1
2013,utah,weber state,0
2013,florida am,tennessee state,1
2013,massachusetts,maine,1
2013,central mich,new hampshire,0
