id,year,day,winner_tie,winner_rank,winner_points,loser_tie,loser_rank,loser_points,attendance,mvp,sponsor,bowl_name
52,2017,Fri,Ohio,,41,Alabama-Birmingham,,6,13585.0,"Ohio RB Dorian Brown, Ohio FS Javon Hagan",,Bahamas Bowl
53,2016,Fri,Old Dominion,,24,Eastern Michigan,,20,13422.0,"Old Dominion RB Ray Lawry, Old Dominion LB T.J. Ricks",Popeyes,Bahamas Bowl
54,2015,Thu,Western Michigan,,45,Middle Tennessee State,,31,13123.0,"Western Michigan RB Jamauri Bogan, Western Michigan LB Grant DePalma",Popeyes,Bahamas Bowl
55,2014,Wed,Western Kentucky,,49,Central Michigan,,48,13667.0,"QB Brandon Doughty (Western Kentucky), DL Derik Overstreet (Western Kentucky)",Popeyes,Bahamas Bowl
56,2021,Thu,Central Florida,,29,Florida,,17,63669.0,UCF WR Ryan O'Keefe,Union Home Mortgage,Union Home Mortgage Gasparilla Bowl
57,2019,Mon,Central Florida,,48,Marshall,,25,28987.0,Central Florida QB Dillon Gabriel,Gasparilla Bowl,Union Home Mortgage Gasparilla Bowl
58,2018,Thu,Marshall,,38,South Florida,,20,14135.0,Marshall RB Keion Davis,Bad Boy Mowers,Union Home Mortgage Gasparilla Bowl
59,2017,Thu,Temple,,28,Florida International,,3,16363.0,Temple QB Frank Nutile,Bad Boy Mowers,Union Home Mortgage Gasparilla Bowl
60,2016,Mon,Mississippi State,,17,Miami,,16,15717.0,MSU QB Nick Fitzgerald,,Union Home Mortgage Gasparilla Bowl
61,2015,Sat,Marshall,,16,Connecticut,,10,14652.0,Marshall WR Deandre Reaves,,Union Home Mortgage Gasparilla Bowl
62,2014,Fri,North Carolina State,,34,Central Florida,,27,26675.0,QB Jacoby Brissett (N.C. State),Bitcoin,Union Home Mortgage Gasparilla Bowl
63,2013,Mon,East Carolina,,37,Ohio,,20,20053.0,RB Vintavious Cooper (East Carolina),Beef 'O'Brady's,Union Home Mortgage Gasparilla Bowl
69,2021,Tue,Houston,21.0,17,Auburn,,13,47100.0,Houston QB Clayton Tune,TicketSmarter,Birmingham Bowl
70,2019,Thu,Cincinnati,23.0,38,Boston College,,6,27193.0,Cincinnati QB Desmond Ridder,TicketSmarter,Birmingham Bowl
71,2018,Sat,Wake Forest,,37,Memphis,,34,25717.0,Wake Forest QB Jamie Newman,Jared,Birmingham Bowl
72,2017,Sat,South Florida,23.0,38,Texas Tech,,34,28623.0,South Florida QB Quinton Flowers,,Birmingham Bowl
73,2016,Thu,South Florida,25.0,46,South Carolina,,39,31229.0,USF QB Quinton Flowers,,Birmingham Bowl
74,2015,Wed,Auburn,,31,Memphis,,10,59430.0,Auburn RB Jovon Robinson,,Birmingham Bowl
75,2014,Sat,Florida,,28,East Carolina,,20,30083.0,RB Adam Lane (Florida),,Birmingham Bowl
76,2013,Sat,Vanderbilt,,41,Houston,,24,42717.0,WR Jordan Matthews (Vanderbilt),BBVA Compass,Birmingham Bowl
84,2021,Sat,Western Kentucky,,59,Appalachian State,,38,15429.0,"WKU QB Bailey Zappe, WKU DB Antwon Kincaid,, WKU P John Haggerty III",RoofClaim,Boca Raton Bowl
85,2020,Tue,Brigham Young,13.0,49,Central Florida,,23,6000.0,"BYU QB Zach Wilson, BYU LB Keenan Pili, BYU KR Caleb Christensen",RoofClaim,Boca Raton Bowl
86,2019,Sat,Florida Atlantic,,52,Southern Methodist,,28,23187.0,"FAU QB Chris Robison, FAU CB Rashad Smith, FAU P Matt Hayball",Cheribundi,Boca Raton Bowl
87,2018,Tue,Alabama-Birmingham,,37,Northern Illinois,,13,22614.0,"UAB WR Xavier Ubosi, UAB NT Anthony Rush",Cheribundi,Boca Raton Bowl
88,2017,Tue,Florida Atlantic,,50,Akron,,3,25912.0,"Florida Atlantic QB Jason Driskel, Florida Atlantic QB Azeez Al-Shaair",Cheribundi Tart Cherry,Boca Raton Bowl
