Pass Def Rank,Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
31,Marshall (Sun Belt),12,8-4,206,391,2448,12,6.26,11.88,204.0
32,Virginia (ACC),10,3-7,191,312,2044,10,6.55,10.7,204.4
33,Tulsa (AAC),12,5-7,195,338,2476,21,7.33,12.7,206.3
34,Louisville (ACC),12,7-5,204,347,2478,16,7.14,12.15,206.5
35,San Diego St. (Mountain West),12,7-5,229,373,2479,19,6.65,10.83,206.6
36,Mississippi St. (SEC),12,8-4,230,389,2481,15,6.38,10.79,206.8
37,Rutgers (Big Ten),12,4-8,224,381,2482,15,6.51,11.08,206.8
38,Troy (Sun Belt),13,11-2,267,442,2698,13,6.1,10.1,207.5
39,Eastern Mich. (MAC),12,8-4,200,354,2506,20,7.08,12.53,208.8
40,LSU (SEC),13,9-4,217,381,2718,16,7.13,12.53,209.1
41,Stanford (Pac-12),12,3-9,203,351,2516,22,7.17,12.39,209.7
42,Missouri (SEC),12,6-6,212,357,2519,15,7.06,11.88,209.9
43,James Madison (Sun Belt),11,8-3,174,318,2310,17,7.26,13.28,210.0
44,Rice (C-USA),12,5-7,201,326,2523,26,7.74,12.55,210.2
45,San Jose St. (Mountain West),11,7-4,195,321,2314,13,7.21,11.87,210.4
