Turnover Rank,Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
91,Nebraska (Big Ten),12,4-8,7,9,16,6,13,19,-3,-0.25
91,Wake Forest (ACC),12,7-5,8,7,15,6,12,18,-3,-0.25
97,North Texas (C-USA),13,7-6,8,8,16,6,14,20,-4,-0.31
98,Ga. Southern (Sun Belt),12,6-6,4,11,15,4,15,19,-4,-0.33
98,Indiana (Big Ten),12,4-8,7,7,14,5,13,18,-4,-0.33
98,Michigan St. (Big Ten),12,5-7,10,2,12,4,12,16,-4,-0.33
98,Oklahoma St. (Big 12),12,7-5,5,12,17,5,16,21,-4,-0.33
98,South Fla. (AAC),12,1-11,10,6,16,11,9,20,-4,-0.33
103,Colorado St. (Mountain West),12,3-9,7,8,15,9,11,20,-5,-0.42
103,South Carolina (SEC),12,8-4,8,12,20,12,13,25,-5,-0.42
103,UTEP (C-USA),12,5-7,11,5,16,9,12,21,-5,-0.42
106,Arizona (Pac-12),12,5-7,12,3,15,8,13,21,-6,-0.5
106,Arizona St. (Pac-12),12,3-9,1,11,12,9,9,18,-6,-0.5
106,Ball St. (MAC),12,5-7,8,7,15,7,14,21,-6,-0.5
106,FIU (C-USA),12,4-8,9,7,16,6,16,22,-6,-0.5
106,New Mexico St. (FBS Independent),12,6-6,6,6,12,6,12,18,-6,-0.5
106,Rutgers (Big Ten),12,4-8,5,9,14,6,14,20,-6,-0.5
112,Virginia Tech (ACC),11,3-8,5,4,9,6,9,15,-6,-0.55
113,Iowa St. (Big 12),12,4-8,8,7,15,7,15,22,-7,-0.58
113,ULM (Sun Belt),12,4-8,2,6,8,8,7,15,-7,-0.58
113,Utah St. (Mountain West),12,6-6,6,11,17,6,18,24,-7,-0.58
116,Hawaii (Mountain West),13,3-10,2,10,12,8,12,20,-8,-0.62
116,Toledo (MAC),13,8-5,5,12,17,10,15,25,-8,-0.62
